,pupID,outcome,age.challenge,sex,chal.time,litterID,chal.status,weight.challenge,dob.pups,v18.hour.post.challenge,v18.weight,v18.energy.high,v18.energy.low,v18.righting.response.high,v18.righting.response.low,v24.hour.post.challenge,v24.weight,v24.energy.high,v24.energy.low,v24.righting.response.high,v24.righting.response.low,weight.change.0.24,weight.change.0.18,weight.change.18.24,direction.of.weight.change.18.24,change.righting.high,change.righting.low,removed
36,F4.m.G5.2015-10-10,live,7,m,7:20 PM,G5.2015-10-10,challenged,3.76,10/10/15,18.17,3.63,non mobile,non mobile,rights,rights,24.08,3.52,lethargic,lethargic,rights,rights,-0.24,-0.13,-0.11,lose,rights.to.rights,rights.to.rights,keep
37,F5.f.G5.2015-10-10,live,7,f,7:20 PM,G5.2015-10-10,challenged,3.3,10/10/15,18.17,3.19,non mobile,non mobile,rights,rights,24.08,3.14,mobile,mobile,rights,rights,-0.16,-0.11,-0.05,lose,rights.to.rights,rights.to.rights,keep
38,R1.f.G5.2015-10-10,die,7,f,7:20 PM,G5.2015-10-10,challenged,3.78,10/10/15,18.17,3.65,lethargic,lethargic,ftr,ftr,24.08,3.59,non mobile,lethargic,rights,ftr,-0.19,-0.13,-0.06,lose,ftr.to.rights,ftr.to.ftr,keep
39,R1.m.G4.2015-10-10,live,7,m,6:55 PM,G4.2015-10-10,challenged,4.11,10/10/15,18.33,3.99,mobile,mobile,ftr,ftr,24.17,3.92,non mobile,non mobile,rights,rights,-0.19,-0.12,-0.07,lose,ftr.to.rights,ftr.to.rights,keep
40,R2.f.G4.2015-10-10,live,7,f,6:55 PM,G4.2015-10-10,challenged,3.49,10/10/15,18.33,3.35,lethargic,lethargic,rights,rights,24.17,3.4,lethargic,mobile,rights,ftr,-0.09,-0.14,0.05,gain,rights.to.rights,rights.to.ftr,keep
41,R3.m.G4.2015-10-10,live,7,m,6:55 PM,G4.2015-10-10,challenged,3.93,10/10/15,18.33,3.77,lethargic,lethargic,rights,rights,24.17,3.69,mobile,mobile,rights,rights,-0.24,-0.16,-0.08,lose,rights.to.rights,rights.to.rights,keep
42,R3.m.G5.2015-10-10,live,7,m,7:20 PM,G5.2015-10-10,challenged,3.8,10/10/15,18.17,3.65,non mobile,mobile,rights,ftr,24.08,3.6,mobile,mobile,rights,rights,-0.2,-0.15,-0.05,lose,rights.to.rights,ftr.to.rights,keep
43,R4.f.G5.2015-10-10,live,7,f,7:20 PM,G5.2015-10-10,challenged,3.38,10/10/15,18.17,3.56,non mobile,non mobile,rights,rights,24.08,3.59,non mobile,non mobile,rights,rights,0.21,0.18,0.03,gain,rights.to.rights,rights.to.rights,remove
44,R1.f.G6.2015-10-27,live,8,f,5:45 PM,G6.2015-10-27,challenged,4.92,10/27/15,18.67,4.77,lethargic,lethargic,rights,ftr,23.92,4.56,lethargic,lethargic,rights,rights,-0.36,-0.15,-0.21,lose,rights.to.rights,ftr.to.rights,keep
45,R3.f.G6.2015-10-27,die,8,f,5:45 PM,G6.2015-10-27,challenged,4.7,10/27/15,18.67,4.56,mobile,mobile,rights,rights,23.92,4.35,lethargic,mobile,rights,ftr,-0.35,-0.14,-0.21,lose,rights.to.rights,rights.to.ftr,keep
46,R1.m.G1.2015-11-09,die,7,m,6:35 PM,G1.2015-11-09,challenged,4.07,11/9/15,18.42,3.9,lethargic,lethargic,ftr,ftr,23.75,3.81,non mobile,non mobile,ftr,ftr,-0.26,-0.17,-0.09,lose,ftr.to.ftr,ftr.to.ftr,remove
47,R2.m.G1.2015-11-09,die,7,m,6:35 PM,G1.2015-11-09,challenged,4.08,11/9/15,18.42,3.9,non mobile,mobile,rights,ftr,23.75,3.83,lethargic,lethargic,ftr,ftr,-0.25,-0.18,-0.07,lose,rights.to.ftr,ftr.to.ftr,remove
48,R3.f.G1.2015-11-09,die,7,f,6:35 PM,G1.2015-11-09,challenged,3.96,11/9/15,18.42,3.79,lethargic,lethargic,ftr,ftr,23.75,3.7,lethargic,lethargic,ftr,ftr,-0.26,-0.17,-0.09,lose,ftr.to.ftr,ftr.to.ftr,remove
49,F1.m.G2.2015-11-10,live,8,m,6:35 PM,G2.2015-11-10,challenged,3.23,11/10/15,18.92,3.115,mobile,non mobile,rights,rights,23.92,3.14,mobile,mobile,rights,rights,-0.09,-0.115,0.025,gain,rights.to.rights,rights.to.rights,keep
50,F3.m.G2.2015-11-10,die,8,m,6:35 PM,G2.2015-11-10,challenged,3.17,11/10/15,18.92,3.085,non mobile,mobile,rights,ftr,23.92,3,mobile,lethargic,ftr,ftr,-0.17,-0.085,-0.085,lose,rights.to.ftr,ftr.to.ftr,keep
51,F4.f.G2.2015-11-10,die,8,f,6:35 PM,G2.2015-11-10,challenged,3.4,11/10/15,18.92,3.28,lethargic,non mobile,rights,rights,23.92,3.13,non mobile,non mobile,rights,rights,-0.27,-0.12,-0.15,lose,rights.to.rights,rights.to.rights,keep
52,F1.f.G4.2015-11-30,die,7,f,5:55 PM,G4.2015-11-30,challenged,3.61,11/30/15,15.17,3.48,non mobile,lethargic,rights,ftr,23.58,3.36,non mobile,non mobile,ftr,ftr,-0.25,-0.13,-0.12,lose,rights.to.ftr,ftr.to.ftr,keep
53,F2.m.G4.2015-11-30,live,7,m,5:55 PM,G4.2015-11-30,challenged,3.75,11/30/15,15.17,3.95,mobile,mobile,rights,rights,23.58,4.23,mobile,mobile,rights,rights,0.48,0.2,0.28,gain,rights.to.rights,rights.to.rights,keep
54,R1.f.G6.2016-01-21,live,7,f,2:15 PM,G6.2016-01-21,challenged,3.9,1/21/16,16.42,3.68,lethargic,mobile,rights,ftr,23.83,3.44,non mobile,mobile,rights,ftr,-0.46,-0.22,-0.24,lose,rights.to.rights,ftr.to.ftr,remove
55,R1.f.G7.2016-01-21,die,7,f,2:45 PM,G7.2016-01-21,challenged,4.02,1/21/16,16.25,3.86,lethargic,lethargic,rights,rights,23.75,3.66,lethargic,lethargic,ftr,ftr,-0.36,-0.16,-0.2,lose,rights.to.ftr,rights.to.ftr,keep
56,R3.f.G6.2016-01-21,live,7,f,2:15 PM,G6.2016-01-21,challenged,3.95,1/21/16,16.42,3.6,non mobile,mobile,rights,ftr,23.83,3.4,mobile,mobile,rights,rights,-0.55,-0.35,-0.2,lose,rights.to.rights,ftr.to.rights,remove
57,F1.f.G2.2016-03-22,live,8,f,6:00 PM,G2.2016-03-22,challenged,3.74,3/22/16,18.25,3.69,mobile,mobile,ftr,ftr,24.08,3.6,lethargic,non mobile,rights,rights,-0.14,-0.05,-0.09,lose,ftr.to.rights,ftr.to.rights,keep
58,F1.f.G3.2016-03-22,live,8,f,6:20 PM,G3.2016-03-22,challenged,4.09,3/22/16,18.25,4.69,lethargic,mobile,rights,ftr,24,4.7,mobile,mobile,rights,rights,0.61,0.6,0.01,gain,rights.to.rights,ftr.to.rights,keep
59,F2.m.G2.2016-03-22,die,8,m,6:00 PM,G2.2016-03-22,challenged,3.95,3/22/16,18.25,3.81,non mobile,lethargic,rights,ftr,24.08,3.73,lethargic,mobile,rights,ftr,-0.22,-0.14,-0.08,lose,rights.to.rights,ftr.to.ftr,keep
60,F2.m.G3.2016-03-22,die,8,m,6:20 PM,G3.2016-03-22,challenged,3.13,3/22/16,18.25,3,lethargic,lethargic,ftr,ftr,24,2.96,non mobile,non mobile,ftr,ftr,-0.17,-0.13,-0.04,lose,ftr.to.ftr,ftr.to.ftr,keep
61,F3.f.G3.2016-03-22,die,8,f,6:20 PM,G3.2016-03-22,challenged,4.53,3/22/16,18.25,4.32,non mobile,lethargic,rights,ftr,24,4.25,non mobile,non mobile,ftr,ftr,-0.28,-0.21,-0.07,lose,rights.to.ftr,ftr.to.ftr,keep
62,F4.m.G3.2016-03-22,die,8,m,6:20 PM,G3.2016-03-22,challenged,4.19,3/22/16,18.25,3.93,non mobile,lethargic,rights,ftr,24,3.89,non mobile,non mobile,ftr,ftr,-0.3,-0.26,-0.04,lose,rights.to.ftr,ftr.to.ftr,keep
63,R2.f.G3.2016-03-22,die,8,f,6:20 PM,G3.2016-03-22,challenged,3.92,3/22/16,18.25,3.82,lethargic,lethargic,ftr,ftr,24,3.75,non mobile,non mobile,ftr,ftr,-0.17,-0.1,-0.07,lose,ftr.to.ftr,ftr.to.ftr,keep
64,R2.m.G2.2016-03-22,die,8,m,6:00 PM,G2.2016-03-22,challenged,3.75,3/22/16,18.25,3.65,mobile,mobile,ftr,ftr,24.08,3.49,mobile,mobile,ftr,ftr,-0.26,-0.1,-0.16,lose,ftr.to.ftr,ftr.to.ftr,keep
65,R3.f.G2.2016-03-22,die,8,f,6:00 PM,G2.2016-03-22,challenged,3.64,3/22/16,18.25,3.51,non mobile,mobile,rights,ftr,24.08,3.44,non mobile,mobile,rights,ftr,-0.2,-0.13,-0.07,lose,rights.to.rights,ftr.to.ftr,keep
66,R3.m.G3.2016-03-22,die,8,m,6:20 PM,G3.2016-03-22,challenged,4.33,3/22/16,18.25,4.21,non mobile,mobile,rights,ftr,24,4.09,non mobile,non mobile,ftr,ftr,-0.24,-0.12,-0.12,lose,rights.to.ftr,ftr.to.ftr,keep
67,F1.m.G5.2016-04-08,live,8,m,5:30 PM,G5.2016-04-08,challenged,3.03,4/8/16,15.25,3.04,mobile,mobile,ftr,ftr,25.42,2.89,mobile,lethargic,rights,rights,-0.14,0.01,-0.15,lose,ftr.to.rights,ftr.to.rights,remove
68,F2.f.G5.2016-04-08,live,8,f,5:30 PM,G5.2016-04-08,challenged,3.81,4/8/16,15.25,3.74,mobile,lethargic,ftr,ftr,25.42,3.52,lethargic,mobile,rights,ftr,-0.29,-0.07,-0.22,lose,ftr.to.rights,ftr.to.ftr,remove
69,F3.m.G5.2016-04-08,live,8,m,5:30 PM,G5.2016-04-08,challenged,4.39,4/8/16,15.25,4.32,mobile,mobile,ftr,ftr,25.42,4.14,mobile,mobile,rights,rights,-0.25,-0.07,-0.18,lose,ftr.to.rights,ftr.to.rights,remove
70,F4.f.G5.2016-04-08,live,8,f,5:30 PM,G5.2016-04-08,challenged,4.38,4/8/16,15.25,4.3,non mobile,lethargic,rights,ftr,25.42,4.09,mobile,mobile,rights,rights,-0.29,-0.08,-0.21,lose,rights.to.rights,ftr.to.rights,remove
71,R1.m.G5.2016-04-08,live,8,m,5:30 PM,G5.2016-04-08,challenged,2.44,4/8/16,15.25,2.38,non mobile,mobile,rights,ftr,25.42,2.49,lethargic,non mobile,rights,rights,0.05,-0.06,0.11,gain,rights.to.rights,ftr.to.rights,remove
72,R3.f.G5.2016-04-08,live,8,f,5:30 PM,G5.2016-04-08,challenged,4.22,4/8/16,15.25,4.13,mobile,lethargic,ftr,ftr,25.42,4,lethargic,lethargic,rights,rights,-0.22,-0.09,-0.13,lose,ftr.to.rights,ftr.to.rights,remove
73,R4.m.G5.2016-04-08,live,8,m,5:30 PM,G5.2016-04-08,challenged,4.46,4/8/16,15.25,4.4,lethargic,non mobile,rights,rights,25.42,4.22,mobile,mobile,rights,rights,-0.24,-0.06,-0.18,lose,rights.to.rights,rights.to.rights,remove
74,F1.m.G9.2016-04-15,die,8,m,5:25 PM,G9.2016-04-15,challenged,3.71,4/15/16,15.08,3.68,mobile,lethargic,ftr,ftr,24,3.53,non mobile,non mobile,ftr,ftr,-0.18,-0.03,-0.15,lose,ftr.to.ftr,ftr.to.ftr,remove
75,F2.f.G9.2016-04-15,die,8,f,5:25 PM,G9.2016-04-15,challenged,3.44,4/15/16,15.08,3.37,non mobile,mobile,rights,ftr,24,3.28,non mobile,non mobile,ftr,ftr,-0.16,-0.07,-0.09,lose,rights.to.ftr,ftr.to.ftr,remove
76,F4.f.G9.2016-04-15,die,8,f,5:25 PM,G9.2016-04-15,challenged,3.75,4/15/16,15.08,3.65,lethargic,lethargic,ftr,ftr,24,3.53,lethargic,lethargic,rights,ftr,-0.22,-0.1,-0.12,lose,ftr.to.rights,ftr.to.ftr,remove
77,R1.f.G9.2016-04-15,die,8,f,5:25 PM,G9.2016-04-15,challenged,3.68,4/15/16,15.08,3.57,lethargic,lethargic,rights,ftr,24,3.42,mobile,lethargic,ftr,ftr,-0.26,-0.11,-0.15,lose,rights.to.ftr,ftr.to.ftr,remove
78,R2.m.G9.2016-04-15,die,8,m,5:25 PM,G9.2016-04-15,challenged,3.33,4/15/16,15.08,3.27,mobile,mobile,ftr,ftr,24,3.14,lethargic,lethargic,ftr,ftr,-0.19,-0.06,-0.13,lose,ftr.to.ftr,ftr.to.ftr,remove
79,R4.m.G9.2016-04-15,die,8,m,5:25 PM,G9.2016-04-15,challenged,3.61,4/15/16,15.08,3.67,mobile,mobile,rights,rights,24,3.46,lethargic,lethargic,ftr,ftr,-0.15,0.06,-0.21,lose,rights.to.ftr,rights.to.ftr,remove
80,F1.f.G1.2016-05-08,live,8,f,5:45 PM,G1.2016-05-08,challenged,4.38,5/8/16,18.83,4.2,mobile,mobile,rights,rights,24.17,4.2,mobile,mobile,rights,rights,-0.18,-0.18,0,lose,rights.to.rights,rights.to.rights,remove
81,F3.f.G1.2016-05-08,live,8,f,5:45 PM,G1.2016-05-08,challenged,4.85,5/8/16,18.83,4.63,mobile,lethargic,rights,rights,24.17,4.37,mobile,mobile,rights,rights,-0.48,-0.22,-0.26,lose,rights.to.rights,rights.to.rights,remove
82,R1.m.G1.2016-05-08,live,8,m,5:45 PM,G1.2016-05-08,challenged,4.9,5/8/16,18.83,5.53,mobile,lethargic,rights,rights,24.17,5.68,lethargic,lethargic,rights,rights,0.78,0.63,0.15,gain,rights.to.rights,rights.to.rights,remove
83,R2.f.G1.2016-05-08,live,8,f,5:45 PM,G1.2016-05-08,challenged,3.94,5/8/16,18.83,3.77,mobile,mobile,rights,rights,24.17,3.85,lethargic,lethargic,rights,rights,-0.09,-0.17,0.08,gain,rights.to.rights,rights.to.rights,remove
84,R3.m.G1.2016-05-08,live,8,m,5:45 PM,G1.2016-05-08,challenged,4.3,5/8/16,18.83,4.86,mobile,lethargic,rights,rights,24.17,5.11,mobile,lethargic,rights,rights,0.81,0.56,0.25,gain,rights.to.rights,rights.to.rights,remove
85,R4.f.G1.2016-05-08,live,8,f,5:45 PM,G1.2016-05-08,challenged,4.21,5/8/16,18.83,4.05,mobile,mobile,rights,rights,24.17,3.92,mobile,mobile,rights,rights,-0.29,-0.16,-0.13,lose,rights.to.rights,rights.to.rights,remove
86,F1.m.G6.2016-05-23,die,8,m,4:50 PM,G6.2016-05-23,challenged,3.67,5/23/16,15.42,3.54,mobile,mobile,ftr,ftr,24.08,3.39,non mobile,non mobile,ftr,ftr,-0.28,-0.13,-0.15,lose,ftr.to.ftr,ftr.to.ftr,keep
87,F3.m.G6.2016-05-23,die,8,m,4:50 PM,G6.2016-05-23,challenged,4.22,5/23/16,15.42,4.02,non mobile,lethargic,rights,ftr,24.08,3.85,non mobile,non mobile,ftr,ftr,-0.37,-0.2,-0.17,lose,rights.to.ftr,ftr.to.ftr,keep
88,F4.f.G6.2016-05-23,die,8,f,4:50 PM,G6.2016-05-23,challenged,3.99,5/23/16,15.42,3.83,mobile,mobile,rights,rights,24.08,3.67,non mobile,non mobile,ftr,ftr,-0.32,-0.16,-0.16,lose,rights.to.ftr,rights.to.ftr,keep
89,R1.m.G6.2016-05-23,live,8,m,4:50 PM,G6.2016-05-23,challenged,3.53,5/23/16,15.42,3.46,non mobile,lethargic,rights,ftr,24.08,3.3,mobile,mobile,rights,rights,-0.23,-0.07,-0.16,lose,rights.to.rights,ftr.to.rights,keep
90,R2.f.G6.2016-05-23,die,8,f,4:50 PM,G6.2016-05-23,challenged,3.77,5/23/16,15.42,3.57,lethargic,mobile,rights,ftr,24.08,3.43,lethargic,lethargic,rights,ftr,-0.34,-0.2,-0.14,lose,rights.to.rights,ftr.to.ftr,keep
91,R3.m.G6.2016-05-23,die,8,m,4:50 PM,G6.2016-05-23,challenged,3.67,5/23/16,15.42,3.55,mobile,lethargic,ftr,ftr,24.08,3.4,non mobile,non mobile,ftr,ftr,-0.27,-0.12,-0.15,lose,ftr.to.ftr,ftr.to.ftr,keep
92,F1.m.G8.2016-05-24,die,8,m,4:40 PM,G8.2016-05-24,challenged,3.19,5/24/16,17.92,3.07,mobile,mobile,ftr,ftr,24.67,2.94,mobile,lethargic,ftr,ftr,-0.25,-0.12,-0.13,lose,ftr.to.ftr,ftr.to.ftr,keep
93,F2.f.G8.2016-05-24,live,8,f,4:40 PM,G8.2016-05-24,challenged,3.11,5/24/16,17.92,2.99,mobile,mobile,ftr,ftr,24.67,3.09,mobile,mobile,rights,ftr,-0.02,-0.12,0.1,gain,ftr.to.rights,ftr.to.ftr,keep
94,F3.m.G8.2016-05-24,die,8,m,4:40 PM,G8.2016-05-24,challenged,3.14,5/24/16,17.92,3.01,mobile,lethargic,ftr,ftr,24.67,2.86,non mobile,non mobile,ftr,ftr,-0.28,-0.13,-0.15,lose,ftr.to.ftr,ftr.to.ftr,keep
95,R2.m.G8.2016-05-24,die,8,m,4:40 PM,G8.2016-05-24,challenged,3.1,5/24/16,17.92,3.01,mobile,mobile,ftr,ftr,24.67,2.88,non mobile,non mobile,ftr,ftr,-0.22,-0.09,-0.13,lose,ftr.to.ftr,ftr.to.ftr,keep
96,F1.f.F1.2017-01-31,die,8,f,4:35 PM,F1.2017-01-31,challenged,4,1/31/17,15.42,3.82,mobile,lethargic,ftr,ftr,24.25,3.64,lethargic,lethargic,rights,rights,-0.36,-0.18,-0.18,lose,ftr.to.rights,ftr.to.rights,keep
